,EMPRESA,BARRA TRANSFERENCIA,CODIGO,ENTREGA/RETIRO,CENTRAL/CLIENTE
3685,STATKRAFT S.A,BELAUNDE 138,CB00300SKP,Retiro,HIPERMERCADOS TOTTUS ORIENTE S.A.C.
3686,STATKRAFT S.A,PUCALLPA 60,CB00299SKP,Retiro,HIPERMERCADOS TOTTUS ORIENTE S.A.C.
3687,STATKRAFT S.A,CARAPONGO 220,CB00298SKP,Retiro,HIPERMERCADOS TOTTUS S.A
3688,STATKRAFT S.A,CHAVARRIA 220,CB00297SKP,Retiro,HIPERMERCADOS TOTTUS S.A
3689,STATKRAFT S.A,CHICLAYO 220,CB00296SKP,Retiro,HIPERMERCADOS TOTTUS S.A
3690,STATKRAFT S.A,CHIMBOTE1 220,CB00295SKP,Retiro,HIPERMERCADOS TOTTUS S.A
3691,STATKRAFT S.A,DOLORESPATA 138,CB00294SKP,Retiro,HIPERMERCADOS TOTTUS S.A
3692,STATKRAFT S.A,GUADALUPE 60,CB00293SKP,Retiro,HIPERMERCADOS TOTTUS S.A
3693,STATKRAFT S.A,HUACHO 220,CB00292SKP,Retiro,HIPERMERCADOS TOTTUS S.A
3694,STATKRAFT S.A,ICA 220,CB00291SKP,Retiro,HIPERMERCADOS TOTTUS S.A
3695,STATKRAFT S.A,INDUSTRIALES 220,CB00290SKP,Retiro,HIPERMERCADOS TOTTUS S.A
3696,STATKRAFT S.A,PIURA OESTE 220,CB00289SKP,Retiro,HIPERMERCADOS TOTTUS S.A
3697,STATKRAFT S.A,PLANICIE220,CB00288SKP,Retiro,HIPERMERCADOS TOTTUS S.A
3698,STATKRAFT S.A,SAN JUAN 220,CB00287SKP,Retiro,HIPERMERCADOS TOTTUS S.A
3699,STATKRAFT S.A,SANTA ROSA 220,CB00286SKP,Retiro,HIPERMERCADOS TOTTUS S.A
3700,STATKRAFT S.A,SOCABAYA 220,CB00285SKP,Retiro,HIPERMERCADOS TOTTUS S.A
3701,STATKRAFT S.A,TRUJILLO 220,CB00284SKP,Retiro,HIPERMERCADOS TOTTUS S.A
3702,STATKRAFT S.A,CHAVARRIA 220,CB00283SKP,Retiro,INMOBILIARIA DOMEL S.A.C.
3703,STATKRAFT S.A,DOLORESPATA 138,CB00282SKP,Retiro,INMOBILIARIA DOMEL S.A.C.
3704,STATKRAFT S.A,INDUSTRIALES 220,CB00281SKP,Retiro,INMOBILIARIA DOMEL S.A.C.
3705,STATKRAFT S.A,PUCALLPA 60,CB00280SKP,Retiro,INMOBILIARIA DOMEL S.A.C.
3706,STATKRAFT S.A,SOCABAYA 220,CB00279SKP,Retiro,MALL PLAZA PERÚ S.A.
3707,STATKRAFT S.A,TRUJILLO 220,CB00278SKP,Retiro,MALL PLAZA PERÚ S.A.
3708,STATKRAFT S.A,CAJAMARCA 220,CB00277SKP,Retiro,OPEN PLAZA
3709,STATKRAFT S.A,CHAVARRIA 220,CB00276SKP,Retiro,OPEN PLAZA
3710,STATKRAFT S.A,CHICLAYO 220,CB00275SKP,Retiro,OPEN PLAZA
3711,STATKRAFT S.A,HUANUCO 138,CB00274SKP,Retiro,OPEN PLAZA
