,Contrato,Usuario Libre,Suministrador,Fecha de Suscripción,Fecha de Finalización,Precio Base,Precio FP,Rango de duración,Potencia_HP,Potencia_HFP,BRG,Precio de Potencia,Consistencia,Link,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
4291,,PETROLEOS DEL PERU PETROPERU S.A.,Engie,2021-01-09 00:00:00,2023-08-31 00:00:00,9.31,9.31,2.6410958904109587,1.8,1.8,,,0,,,,,
4292,,PETROLEOS DEL PERU PETROPERU S.A.,Engie,2021-01-09 00:00:00,2023-08-31 00:00:00,9.31,9.31,2.6410958904109587,0.86,0.86,,,0,,,,,
4293,,PETROLEOS DEL PERU PETROPERU S.A.,Engie,2021-01-09 00:00:00,2023-08-31 00:00:00,9.31,9.31,2.6410958904109587,0.47,0.47,,,0,,,,,
4294,,INTERMEDIUM S.A.C.,Engie,2021-01-09 00:00:00,2025-12-31 00:00:00,12.41,12.41,4.978082191780822,0.3,0.3,,,0,,,,,
4295,,PESQUERA DIAMANTE S.A.,Engie,2021-02-12 00:00:00,2025-06-30 00:00:00,8.4,8.4,4.380821917808219,1,1,,,0,,,,,
4296,,PESQUERA DIAMANTE S.A.,Engie,2021-02-12 00:00:00,2025-06-30 00:00:00,8.4,8.4,4.380821917808219,2.8,2.8,,,0,,,,,
4297,,INDUSTRIAS CACHIMAYO S.A.,Engie,2022-01-01 00:00:00,2026-12-31 00:00:00,8.19,8.19,5.0,29,29,,,0,,,,,
4298,,TEJIDOS JORGITO S.A.C.,Engie,2022-01-01 00:00:00,2024-12-31 00:00:00,8.08,8.08,3.0,0.7,0.7,,,0,,,,,
4299,,TEJIDOS JORGITO S.A.C.,Engie,2022-01-01 00:00:00,2024-12-31 00:00:00,8.08,8.08,3.0,0.653,0.653,,,0,,,,,
4300,,TEJIDOS JORGITO S.A.C.,Engie,2022-01-01 00:00:00,2024-12-31 00:00:00,8.08,8.08,3.0,2.5,2.5,,,0,,,,,
4301,,TEJIDOS JORGITO S.A.C.,Engie,2022-01-01 00:00:00,2024-12-31 00:00:00,8.08,8.08,3.0,0.7,0.7,,,0,,,,,
4302,,TEJIDOS JORGITO S.A.C.,Engie,2022-01-01 00:00:00,2024-12-31 00:00:00,8.08,8.08,3.0,1.49,1.49,,,0,,,,,
4303,,TEJIDOS JORGITO S.A.C.,Engie,2022-01-01 00:00:00,2024-12-31 00:00:00,8.08,8.08,3.0,0.3,0.3,,,0,,,,,
4304,,INMOBILIARIA DE TURISMO S.A.,Engie,2022-01-01 00:00:00,2024-12-31 00:00:00,11.54,11.54,3.0,0.35,0.35,,,0,,,,,
4305,,CIA MINERA PLATA DORADA S.A.,Engie,2022-01-01 00:00:00,2024-12-31 00:00:00,8.27,8.27,3.0,0.25,0.25,,,0,,,,,
4306,,ARUNTANI S.A.C.,Kallpa,2007-06-08 00:00:00,2023-07-31 00:00:00,32,32,16.156164383561645,4.25,4.25,,,0,,,,,
4307,,GOLD FIELDS LA CIMA S.A.,Kallpa,2017-01-05 00:00:00,2027-04-30 00:00:00,48.95,44.4,10.32054794520548,25,25,,,0,,,,,
4308,,ARUNTANI S.A.C.,Kallpa,2009-01-06 00:00:00,2023-07-31 00:00:00,43.11,39.02,14.572602739726028,2.5,2.5,,,0,,,,,
4309,,CERAMICA SAN LORENZO SAC,Kallpa,2010-01-01 00:00:00,2026-02-28 00:00:00,25,25,16.16986301369863,4.37,4.37,,,0,,,,,
4310,,CARTONES VILLA MARINA S.A.,Kallpa,2015-01-01 00:00:00,2025-12-31 00:00:00,20,20,11.005479452054795,4.7,4.7,,,0,,,,,
4311,,COMPAÑIA MINERA MISKI MAYO S.R.L.,Kallpa,2010-01-03 00:00:00,2026-03-31 00:00:00,47.66,37.41,16.24931506849315,17.4,17.4,,,0,,,,,
4312,,COMPAÑIA MINERA ANTAPACCAY S.A.,Kallpa,2011-01-11 00:00:00,2025-12-31 00:00:00,31,31,14.98082191780822,100,100,,,0,,,,,
4313,,CERAMICA SAN LORENZO SAC,Kallpa,2012-01-09 00:00:00,2026-02-28 00:00:00,25,25,14.147945205479452,3.2,3.2,,,0,,,,,
4314,,QUIMPAC S.A.,Kallpa,2013-01-10 00:00:00,2032-12-31 00:00:00,35.37,35.37,19.986301369863014,12,30,,,0,,,,,
4315,,INDUSTRIAS ELECTRO QUIMICAS S A,Kallpa,2015-01-01 00:00:00,2024-12-31 00:00:00,42,38,10.005479452054795,2.2,2.2,,,0,,,,,
4316,,SAN MIGUEL INDUSTRIAS PET S.A.,Kallpa,2015-01-02 00:00:00,2025-12-31 00:00:00,10.21,10.21,11.002739726027396,12,12,,,0,,,,,
4317,,AMCOR RIGID PACKAGING DEL PERU S.A.,Kallpa,2015-01-08 00:00:00,2023-07-31 00:00:00,33,33,8.564383561643835,4.3,4.3,,,0,,,,,
4318,,UNION DE CER PER BACKUS Y JOHNSTON S.A.A,Kallpa,2015-01-12 00:00:00,2023-12-31 00:00:00,9,7.737,8.972602739726028,11.5,11.5,,,0,,,,,
4319,,UNION DE CER PER BACKUS Y JOHNSTON S.A.A,Kallpa,2015-01-12 00:00:00,2023-12-31 00:00:00,10.058,8.716,8.972602739726028,4.5,4.5,,,0,,,,,
